"","TIMESTAMP","Global_Energy_Tot","Direct_Energy_Tot","Diffuse_Energy_Tot","Water_Energy","Global_Efficiency"
"1",2020-08-17,7.062,6.908,1.735,3.2,0.453129425092042
"2",2020-08-18,6.295,5.544,2.27,2.58666666666667,0.41090812814403
"3",2020-08-19,6.943,6.902,1.627,3.25333333333333,0.468577464112535
"4",2020-08-20,6.596,5.496,2.348,2.88,0.436628259551243
"5",2020-08-21,5.756,2.639,3.715,2.29333333333333,0.3984248320593
"6",2020-08-22,5.292,2.533,3.244,2.08,0.393046107331822
"7",2020-08-23,5.632,3.991,2.648,2.32,0.411931818181818
"8",2020-08-24,5.232,3.338,2.559,2.16,0.412844036697248
"9",2020-08-25,5.266,2.884,2.849,2.26666666666667,0.430434232181289
"10",2020-08-26,5.747,4.021,2.453,2.42666666666667,0.422249289484369
"11",2020-08-27,3.847,0.931,3.19,1.36,0.353522225110476
"12",2020-08-28,1.304,0.004,1.308,0.32,0.245398773006135
"13",2020-08-29,3.067,0.342,2.868,0.8,0.26084121291164
"14",2020-08-30,5.271,2.752,3.197,2.18666666666667,0.414848542338582
"15",2020-08-31,4.989,3.144,2.703,2.08,0.416917217879335
"16",2020-09-01,5.961,4.637,2.234,2.56,0.42945814460661
"17",2020-09-02,5.855,3.813,2.95,2.45333333333333,0.419015086820381
"18",2020-09-03,6.837,6.651,1.823,3.05333333333333,0.446589634830091
"19",2020-09-04,4.623,2.651,3.017,1.65333333333333,0.357632129209027
"20",2020-09-05,6.351,5.872,2.029,2.72,0.428279011179342
"21",2020-09-06,6.888,7.725,1.242,2.98666666666667,0.43360433604336
"22",2020-09-07,6.377,6.059,1.909,2.8,0.439077936333699
"23",2020-09-08,6.144,5.584,1.899,2.77333333333333,0.451388888888889
"24",2020-09-09,4.65,2.361,2.905,1.86666666666667,0.401433691756272
"25",2020-09-10,2.975,0.712,2.589,0.906666666666667,0.304761904761905
"26",2020-09-11,2.027,0.162,1.914,0.533333333333333,0.263114619306035
"27",2020-09-12,3.77,0.74,3.205,1.12,0.297082228116711
"28",2020-09-13,2.95,1.237,2.183,1.04,0.352542372881356
"29",2020-09-14,1.088,0.002,1.092,0.213333333333333,0.196078431372549
"30",2020-09-15,1.16,0.002,1.166,0.293333333333333,0.252873563218391
"31",2020-09-16,1.234,0.004,1.243,0.346666666666667,0.280929227444625
"32",2020-09-17,0.567,0.002,0.569,0.106666666666667,0.188124632569077
"33",2020-09-18,0.693,0.001,0.695,0.186666666666667,0.269360269360269
"34",2020-09-19,0.94,0.004,0.944,0.173333333333333,0.184397163120567
"35",2020-09-20,3.459,1.371,2.336,1.26666666666667,0.366194468536186
