"","TIMESTAMP","Global_Energy_Tot","Direct_Energy_Tot","Diffuse_Energy_Tot","Water_Energy","Global_Efficiency"
"1",2020-06-05,3.49,0.835,2.754,1.06666666666667,0.305635148042025
"2",2020-06-06,2.194,0.097,2.142,0.48,0.218778486782133
"3",2020-06-07,6.214,2.468,4.104,2,0.321853878339234
"4",2020-06-08,2.782,0.034,2.776,0.693333333333333,0.249221183800623
"5",2020-06-09,4.606,1.098,3.683,1.22666666666667,0.266319293674917
"6",2020-06-10,2.437,0.062,2.398,0.666666666666667,0.273560388455752
"7",2020-06-11,2.701,0.317,2.504,1.06666666666667,0.394915463408614
"8",2020-06-12,6.357,4.12,3.148,2.56,0.402705678779298
"9",2020-06-13,5.883,3.194,3.261,2.53333333333333,0.430619298543827
"10",2020-06-14,4.067,1.599,2.893,1.54666666666667,0.38029669699205
"11",2020-06-15,2.787,0.726,2.341,1.06666666666667,0.382729338595862
"12",2020-06-16,3.831,0.251,3.632,1.25333333333333,0.327155659966936
"13",2020-06-17,7.111,4.909,2.963,NA,NA
"14",2020-06-18,4.725,2.522,3.017,NA,NA
"15",2020-06-19,1.393,0.004,1.401,NA,NA
"16",2020-06-20,1.039,0.001,1.043,NA,NA
"17",2020-06-21,0.674,0.002,0.676,NA,NA
"18",2020-06-22,1.209,0.005,1.215,NA,NA
"19",2020-06-23,3.101,0.133,3.037,NA,NA
"20",2020-06-24,1.015,0.005,1.02,NA,NA
"21",2020-06-25,1.42,0.103,1.405,NA,NA
"22",2020-06-26,6.027,3.883,2.988,NA,NA
"23",2020-06-27,2.035,0.186,1.956,NA,NA
"24",2020-06-28,4.731,0.947,3.862,1.62666666666667,0.34383146621574
"25",2020-06-29,1.576,0.005,1.585,0.533333333333333,0.338409475465313
"26",2020-06-30,4.405,1.167,3.676,1.41333333333333,0.320847521755581
"27",2020-07-01,3.764,1.096,2.912,1.33333333333333,0.354233085370174
"28",2020-07-02,2.174,0.013,2.184,0.746666666666667,0.343452928549525
"29",2020-07-03,2.554,0.191,2.442,0.8,0.313234142521535
"30",2020-07-04,1.03,0.005,1.036,0.373333333333333,0.362459546925566
"31",2020-07-05,1.203,0.005,1.207,0.186666666666667,0.155167636464395
"32",2020-07-06,0.731,0.002,0.733,NA,NA
"33",2020-07-07,3.494,0.434,3.247,1.6,0.457927876359473
"34",2020-07-08,3.142,0.05,3.125,0.986666666666667,0.314025037131339
"35",2020-07-09,3.439,0.315,3.176,1.2,0.348938644954929
"36",2020-07-10,1.033,0.002,1.035,0.186666666666667,0.180703452726686
"37",2020-07-11,3.325,0.172,3.227,1.14666666666667,0.344862155388471
"38",2020-07-12,6.633,4.084,3.145,2.93333333333333,0.442233278054174
"39",2020-07-13,4.699,1.48,3.727,1.86666666666667,0.397247641342129
"40",2020-07-14,1.983,0.006,2,0.533333333333333,0.268952765170617
"41",2020-07-15,0.611,0.002,0.613,0.186666666666667,0.305510092744135
"42",2020-07-16,0.672,0.002,0.675,0.146666666666667,0.218253968253968
"43",2020-07-17,2.284,0.077,2.252,0.666666666666667,0.291885580852306
"44",2020-07-18,2.747,0.052,2.727,0.906666666666667,0.330057031913603
"45",2020-07-19,4.95,1.384,3.791,2.13333333333333,0.430976430976431
"46",2020-07-20,1.055,0.003,1.062,0.32,0.303317535545024
"47",2020-07-21,5.912,3.096,2.937,2.72,0.460081190798376
"48",2020-07-22,6.563,4.93,2.191,2.88,0.438823708669816
"49",2020-07-23,6.684,4.576,3.158,2.61333333333333,0.390983443048075
"50",2020-07-24,1.376,0.015,1.373,0.32,0.232558139534884
"51",2020-07-25,1.979,0.009,1.987,0.666666666666667,0.336870473303015
"52",2020-07-26,2.855,0.74,2.481,0.693333333333333,0.242848803269119
"53",2020-07-27,4.527,0.937,3.843,1.73333333333333,0.382887858036963
"54",2020-07-28,4.987,1.805,3.491,1.97333333333333,0.39569547490141
"55",2020-07-29,5.092,2.292,2.981,2.16,0.424194815396701
"56",2020-07-30,5.994,3.415,2.942,2.48,0.413747080413747
"57",2020-07-31,4.441,1.274,3.557,1.92,0.432335059671245
"58",2020-08-01,7.622,8.31,1.103,3.14666666666667,0.41284002449051
"59",2020-08-02,7.539,8.22,1.191,3.46666666666667,0.459831100499624
"60",2020-08-03,7.548,8.25,1.033,2.98666666666667,0.395689807454513
"61",2020-08-04,3.329,0.566,2.857,NA,NA
"62",2020-08-05,6.068,3.23,3.545,2.10666666666667,0.34717644473742
"63",2020-08-06,3.784,0.472,3.373,1.44,0.380549682875264
"64",2020-08-07,3.085,0.226,2.89,1.12,0.363047001620745
"65",2020-08-08,3.112,0.206,2.975,0.906666666666667,0.291345329905741
"66",2020-08-09,3.763,0.333,3.58,1.36,0.361413765612543
"67",2020-08-10,4.571,1.302,3.347,1.81333333333333,0.396703857653322
"68",2020-08-11,6.186,3.818,2.831,2.88,0.46556741028128
"69",2020-08-12,6.858,6.575,1.884,3.04,0.443277923592884
"70",2020-08-13,7.205,8.01,1.264,3.26666666666667,0.453388850335415
"71",2020-08-14,6.728,5.861,2.06,3.10666666666667,0.46175188267935
"72",2020-08-15,7.156,7.593,1.33,3.01333333333333,0.421091857648593
"73",2020-08-16,6.989,6.7,1.785,3.46666666666667,0.49601755139028
"74",2020-08-17,7.062,6.908,1.735,NA,NA
"75",2020-08-18,6.295,5.544,2.27,NA,NA
"76",2020-08-19,6.943,6.902,1.627,NA,NA
"77",2020-08-20,6.596,5.496,2.348,NA,NA
"78",2020-08-21,5.756,2.639,3.715,NA,NA
"79",2020-08-22,5.292,2.533,3.244,NA,NA
"80",2020-08-23,5.632,3.991,2.648,NA,NA
"81",2020-08-24,5.232,3.338,2.559,NA,NA
"82",2020-08-25,5.266,2.884,2.849,NA,NA
"83",2020-08-26,5.747,4.021,2.453,NA,NA
"84",2020-08-27,3.847,0.931,3.19,NA,NA
"85",2020-08-28,1.304,0.004,1.308,NA,NA
"86",2020-08-29,3.067,0.342,2.868,NA,NA
"87",2020-08-30,5.271,2.752,3.197,NA,NA
"88",2020-08-31,4.989,3.144,2.703,NA,NA
"89",2020-09-01,5.961,4.637,2.234,NA,NA
"90",2020-09-02,5.855,3.813,2.95,NA,NA
"91",2020-09-03,6.837,6.651,1.823,NA,NA
"92",2020-09-04,4.623,2.651,3.017,NA,NA
"93",2020-09-05,6.351,5.872,2.029,NA,NA
"94",2020-09-06,6.888,7.725,1.242,NA,NA
"95",2020-09-07,6.377,6.059,1.909,NA,NA
"96",2020-09-08,6.144,5.584,1.899,NA,NA
"97",2020-09-09,4.65,2.361,2.905,NA,NA
"98",2020-09-10,2.975,0.712,2.589,NA,NA
"99",2020-09-11,2.027,0.162,1.914,NA,NA
"100",2020-09-12,3.77,0.74,3.205,NA,NA
"101",2020-09-13,2.95,1.237,2.183,NA,NA
"102",2020-09-14,1.088,0.002,1.092,NA,NA
"103",2020-09-15,1.16,0.002,1.166,NA,NA
"104",2020-09-16,1.234,0.004,1.243,NA,NA
"105",2020-09-17,0.567,0.002,0.569,NA,NA
"106",2020-09-18,0.693,0.001,0.695,NA,NA
"107",2020-09-19,0.94,0.004,0.944,NA,NA
"108",2020-09-20,3.459,1.371,2.336,NA,NA
